Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [AUSENTE],Entre Rios [NEGATIVO],Formosa [NEGATIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [AUSENTE],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [EMPATE],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [EMPATE],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [POSITIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [EMPATE],Mendoza [NEGATIVO],Misiones[AUSENTE],Neuquen [EMPATE],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [NEGATIVO],Chaco [NEGATIVO],Chubut [NEGATIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [POSITIVO],Formosa [NEGATIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[NEGATIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [NEGATIVO],San Juan [NEGATIVO],San Luis [NEGATIVO],Santa Cruz [POSITIVO],Santa Fe [NEGATIVO],Santiago del Estero [NEGATIVO],Tierra del Fuego [POSITIVO],Tucuman [NEGATIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [EMPATE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [EMPATE],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [EMPATE],Rio Negro [EMPATE],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [EMPATE],Santa Fe [EMPATE],Santiago del Estero [EMPATE],Tierra del Fuego [POSITIVO],Tucuman [EMPATE]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [POSITIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [EMPATE],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [AUSENTE],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [AUSENTE],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [EMPATE],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [ABSTENCION],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [EMPATE],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [AUSENTE],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [ABSTENCION],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [POSITIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [POSITIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [POSITIVO],Jujuy [POSITIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [AUSENTE],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [POSITIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
